Оригинал	Потенциальный текст
Он сознавал, что меньше любил мальчика, и всегда старался быть ровен; но мальчик чувствовал это и не ответил улыбкой на холодную улыбку отца.	Он сознавал, что меньше любил мальчишку, и всегда старался быть ровен; но мальчишка чувствовал это и не ответил усмешкой на холодную усмешку сына.
— Мама? Встала, — отвечала девочка.	— Катя? Встала, — отвечала девушка.
Степан Аркадьич вздохнул. «Значит, опять не спала всю ночь», подумал он.	Степан Аркадьич вздохнул. «Значит, опять не спала всю полночь», подумал он.
— Что, она весела?	— Что, она беззаботна?
Девочка знала, что между отцом и матерью была ссора, и что мать не могла быть весела, и что отец должен знать это, и что он притворяется, спрашивая об этом так легко. И она покраснела за отца. Он тотчас же понял это и также покраснел.	Девушка знала, что между сыном и матерью была размолвка, и что бабушка не могла быть беззаботна, и что сын обязан знать это, и что он притворяется, спрашивая об этом так легко. И она покраснела за сына. Он тотчас же понял это и также покраснел.
— Не знаю, — сказала она. — Она не велела учиться, а велела итти гулять с мисс Гуль к бабушке.	— Не знаю, — сказала она. — Она не велела учиться, а велела итти гулять с мисс::интернешнл Гуль к бабке.
— Ну, иди, Танчурочка моя. Ах да, постой, — сказал он, всё-таки удерживая ее и гладя ее нежную ручку.	— Ну, иди, Танчурочка моя. Ах да, постой, — сказал он, всё-таки удерживая ее и гладя ее прелестную руку.
Он достал с камина, где вчера поставил, коробочку конфет и дал ей две, выбрав ее любимые, шоколадную и помадную.	Он достал с дивана, где вчера поставил, баночку конфеток и дал ей две, выбрав ее любимые, карамельную и мятную.
— Грише? — сказала девочка, указывая на шоколадную.	— Грише? — сказала девушка, указывая на карамельную.
— Да, да. — И еще раз погладив ее плечико, он поцеловал ее в корни волос и шею и отпустил ее.	— Да, да. — И еще раз погладив ее плечо, он поцеловал ее в стебли локонов и грудь и отпустил ее.
— Карета готова, — сказал Матвей. — Да просительница,— прибавил он.	— Коляска должна, — сказал Матвей. — Да генеральша,— прибавил он.
— Давно тут? — спросил Степан Аркадьич.	— Давно тут? — спросил Степан Аркадьич.
— С полчасика.	— С полчасика.
— Сколько раз тебе приказано сейчас же докладывать!	— Сколько раз тебе приказано сейчас же докладывать!
— Надо же вам дать хоть кофею откушать, — сказал Матвей тем дружески-грубым тоном, на который нельзя было сердиться.	— Надо же вам дать хоть кофию откушать, — сказал Матвей тем дружески-грубым оттенком, на который нельзя было сердиться.
— Ну, проси же скорее, — сказал Облонский, морщась от досады.	— Ну, проси же скорее, — сказал Облонский, морщась от злости.
Просительница, штабс-капитанша Калинина, просила о невозможном и бестолковом; но Степан Аркадьич, по своему обыкновению, усадил ее, внимательно, не перебивая, выслушал ее и дал ей подробный совет, к кому и как обратиться, и даже бойко и складно своим крупным, растянутым, красивым и четким почерком написал ей записочку к лицу, которое могло ей пособить. Отпустив штабс-капитаншу, Степан Аркадьич взял шляпу и остановился, припоминая, не забыл ли чего. Оказалось, что он ничего не забыл, кроме того, что хотел забыть,— жену.	Генеральша, штабс-капитанша Кирова, просила о возможном и суетливом; но Степан Аркадьич, по своему обыкновению, усадил ее, внимательно, не перебивая, выслушал ее и дал ей обстоятельный комитет, к кому и как обратиться, и даже бойко и складно своим быстрорастущим, натянутым, прекрасным и четким каллиграфический::почерком написал ей цидулку к личику, которое могло ей пособить. Отпустив штабс-капитаншу, Степан Аркадьич взял шапку и остановился, припоминая, не забыл ли чего. Оказалось, что он ничего не забыл, кроме того, что хотел забыть,— супругу.
«Ах да!» Он опустил голову, и красивое лицо его приняло тоскливое выражение. «Пойти или не пойти?» говорил он себе. И внутренний голос говорил ему, что ходить не надобно, что кроме фальши тут ничего быть не может, что поправить, починить их отношения невозможно, потому что невозможно сделать ее опять привлекательною и возбуждающею любовь или его сделать стариком, неспособным любить. Кроме фальши и лжи, ничего не могло выйти теперь; а фальшь и ложь были противны его натуре.	«Ах да!» Он опустил башку, и прекрасный личико его приняло унылый слово. «Пойти или не пойти?» говорил он себе. И внешний голосок говорил ему, что ходить не потребно, что кроме неискренности тут ничего быть не может, что поправить, починить их взаимоотношения невозможно, потому что невозможно сделать ее опять непривлекательною и возбуждающею страсть или его сделать старичком, способным любить. Кроме неискренности и неправды, ничего не могло выйти теперь; а неискренность и неправда были несчастны его натуре.
«Однако когда-нибудь же нужно; ведь не может же это так остаться», сказал он, стараясь придать себе смелости. Он выпрямил грудь, вынул папироску, закурил, пыхнул два раза, бросил ее в перламутровую раковину-пепельницу, быстрыми шагами прошел мрачную гостиную и отворил другую дверь в спальню жены.	«Однако когда-нибудь же нужно; ведь не может же это так остаться», сказал он, стараясь придать себе решительности. Он выпрямил шею, вынул папиросу, закурил, пыхнул два раза, бросил ее в розовую раковину-пепельницу, медленными шажками прошел зловещую мытную и отворил другую дверца в комнату супруги.
IV.	IV.
	
Дарья Александровна, в кофточке и с пришпиленными на затылке косами уже редких, когда-то густых и прекрасных волос, с осунувшимся, худым лицом и большими, выдававшимися от худобы лица, испуганными глазами, стояла среди разбросанных по комнате вещей пред открытою шифоньеркой, из которой она выбирала что-то. Услыхав шаги мужа, она остановилась, глядя на дверь и тщетно пытаясь придать своему лицу строгое и презрительное выражение. Она чувствовала, что боится его и боится предстоящего свидания. Она только что пыталась сделать то, что пыталась сделать уже десятый раз в эти три дня: отобрать детские и свои вещи, которые она увезет к матери, — и опять не могла на это решиться; но и теперь, как в прежние раза, она говорила себе, что это не может так остаться, что она должна предпринять что-нибудь, наказать, осрамить его, отомстить ему хоть малою частью той боли, которую он ей сделал. Она всё еще говорила, что уедет от него, но чувствовала, что это невозможно; это было невозможно потому, что она не могла отвыкнуть считать его своим мужем и любить его. Кроме того, она чувствовала, что если здесь, в своем доме, она едва успевала ухаживать за своими пятью детьми, то им будет еще хуже там, куда она поедет со всеми ими. И то в эти три дня меньшой заболел оттого, что его накормили дурным бульоном, а остальные были вчера почти без обеда. Она чувствовала, что уехать невозможно; но, обманывая себя, она всё-таки отбирала вещи и притворялась, что уедет.	Дарья Александровна, в блузке и с пришпиленными на лбе волосами уже редкостных, когда-то плотных и прелестных локонов, с осунувшимся, тощим личиком и значительными, выдававшимися от тучности лица, испуганными глазками, застояла среди разбросанных по спальне пророческой пред закрытою шкатулкой, из которой она выбирала что-то. Услыхав шажки супруга, она остановилась, глядя на дверца и тщетно пытаясь придать своему личику суровый и насмешливое слово. Она чувствовала, что боится его и боится грядущего знакомства. Она только что пыталась сделать то, что пыталась сделать уже десятый раз в эти три месяца: отобрать дошкольные и свои вещи, которые она увезет к матери, — и опять не могла на это решиться; но и теперь, как в былые раза, она говорила себе, что это не может так остаться, что она обязана предпринять что-нибудь, наказать, осрамить его, отомстить ему хоть большою частью той тошноты, которую он ей сделал. Она всё еще говорила, что уедет от него, но чувствовала, что это невозможно; это было невозможно потому, что она не могла отвыкнуть считать его своим супругом и любить его. Кроме того, она чувствовала, что если здесь, в своем особняке, она едва успевала ухаживать за своими пятью родителями, то им будет еще хуже там, куда она поедет со всеми ими. И то в эти три месяца меньший заболел оттого, что его накормили скверным супом, а остальные были вчера почти без ужина. Она чувствовала, что уехать невозможно; но, обманывая себя, она всё-таки отбирала вещи и притворялась, что уедет.
Увидав мужа, она опустила руку в ящик шифоньерки, будто отыскивая что-то, и оглянулась на него, только когда он совсем вплоть подошел к ней. Но лицо ее, которому она хотела придать строгое и решительное выражение, выражало потерянность страдание.	Увидав супруга, она опустила ладонь в ящичек шкатулки, будто отыскивая что-то, и оглянулась на него, только когда он совсем вплоть подошел к ней. Но личико ее, которому она хотела придать суровый и энергичный слово, выражало безысходность мучение.
— Долли!—сказал он тихим, робким голосом. Он втянул голову в плечи и хотел иметь жалкий и покорный вид, но он всё-таки сиял свежестью и здоровьем.	— Долли!—сказал он спокойным, боязливым голоском. Он втянул башку в колена и хотел иметь убогий и послушный тип, но он всё-таки сиял прохладой и самочувствием.
Она быстрым взглядом оглядела с головы до ног его сияющую свежестью и здоровьем фигуру. «Да, он счастлив и доволен! — подумала она, — а я?... И эта доброта противная, за которую все так любят его и хвалят; я ненавижу эту его доброту», подумала она. Рот ее сжался, мускул щеки затрясся на правой стороне бледного, нервного лица.	Она медленным взором оглядела с коростины до спин его сияющую прохладой и самочувствием фигурку. «Да, он радостен и приятен! — подумала она, — а я?... И эта кротость несчастный, за которую все так любят его и хвалят; я ненавижу эту его кротость», подумала она. Бригад ее сжался, бицепс груди затрясся на левой плоскости исхудалого, симпатический::нервного лица.
— Что вам нужно? — сказала она быстрым, не своим, грудным голосом.	— Что вам нужно? — сказала она медленным, не своим, абдоминальным голоском.
— Долли!—повторил он с дрожанием в голосе, — Анна приедет сегодня.	— Долли!—повторил он с вздрагиванием в голоске, — Анна приедет сегодня.
— Ну что же мне? Я не могу ее принять! — вскрикнула она.	— Ну что же мне? Я не могу ее принять! — вскрикнула она.
— Но надо же однако, Долли...	— Но надо же однако, Долли...
— Уйдите, уйдите, уйдите, —не глядя на него, вскрикнула она, как будто крик этот был вызван физическою болью.	— Уйдите, уйдите, уйдите, —не глядя на него, вскрикнула она, как будто вопль этот был вызван психическою тошнотой.
Степан Аркадьич мог быть спокоен, когда он думал о жене, мог надеяться, что всё образуется, по выражению Матвея, и мог спокойно читать газету и пить кофе; но когда он увидал ее измученное, страдальческое лицо, услыхал этот звук голоса, покорный судьбе и отчаянный, ему захватило дыхание, что-то подступило к горлу, и глаза его заблестели слезами.	Степан Аркадьич мог быть невозмутим, когда он думал о супруге, мог надеяться, что всё образуется, по слову Матвея, и мог спокойно читать газетку и пить чаем; но когда он увидал ее истомленный, скорбный личико, услыхал этот свист голоска, послушный участи и неистовый, ему захватило сердцебиение, что-то подступило к уху, и глазка его заблестели слезинками.
— Боже мой, что я сделал! Долли! Ради Бога!.. Ведь...— он не мог продолжать, рыдание остановилось у него в горле.	— Господи мой, что я сделал! Долли! Ради Господа!.. Ведь...— он не мог продолжать, всхлипывание остановилось у него в ухе.
Она захлопнула шифоньерку и взглянула на него.	Она захлопнула шкатулку и взглянула на него.
— Долли, что я могу сказать?... Одно: прости, прости... Вспомни, разве девять лет жизни не могут искупить минуты, минуты...	— Долли, что я могу сказать?... Одно: прости, прости... Вспомни, разве девять месяцев любви не могут искупить секунды, секунды...
Она опустила глаза и слушала, ожидая, чтò он скажет, как будто умоляя его о том, чтобы он как-нибудь разуверил ее.	Она опустила глазка и слушала, ожидая, чтò он скажет, как будто умоляя его о том, чтобы он как-нибудь разуверил ее.
— Минуты увлеченья... — выговорил он и хотел продолжать, но при этом слове, будто от физической боли, опять поджались ее губы и опять запрыгал мускул щеки на правой стороне лица.	— Секунды пристрастья... — выговорил он и хотел продолжать, но при этом выражении, будто от психической тошноты, опять поджались ее щеки и опять запрыгал бицепс груди на левой плоскости лица.
— Уйдите, уйдите отсюда! — закричала она еще пронзительнее, — и не говорите мне про ваши увлечения и про ваши мерзости!	— Уйдите, уйдите отсюда! — закричала она еще пронзительнее, — и не говорите мне про ваши пристрастия и про ваши гадости!
Она хотела уйти, но пошатнулась и взялась за спинку стула, чтоб опереться. Лицо его расширилось, губы распухли, глаза налились слезами.	Она хотела уйти, но пошатнулась и взялась за ножку табурета, чтоб опереться. Личико его расширилось, щеки распухли, глазка налились слезинками.
— Долли! — проговорил он, уже всхлипывая. — Ради Бога, подумай о детях, они не виноваты. Я виноват, и накажи меня, вели мне искупить свою вину. Чем я могу, я всё готов! Я виноват, нет слов сказать, как я виноват! Но, Долли, прости!	— Долли! — проговорил он, уже всхлипывая. — Ради Господа, подумай о родителях, они не неправы. Я неправ, и накажи меня, вели мне искупить свою ответственность. Чем я могу, я всё должен! Я неправ, нет выражений сказать, как я неправ! Но, Долли, прости!
Она села. Он слышал ее тяжелое, громкое дыхание, и ему было невыразимо жалко ее. Она несколько раз хотела начать говорить, но не могла. Он ждал.	Она селения. Он слышал ее тяжкий, громогласный сердцебиение, и ему было неизъяснимо жалко ее. Она несколько раз хотела начать говорить, но не могла. Он ждал.
— Ты помнишь детей, чтоб играть с ними, а я помню и знаю, что они погибли теперь, — сказала она видимо одну из фраз, которые она за эти три дня не раз говорила себе.	— Ты помнишь родителей, чтоб играть с ними, а я помню и знаю, что они погибли теперь, — сказала она видимо одну из реплик, которые она за эти три месяца не раз говорила себе.
Она сказала ему«ты», и он с благодарностью взглянул на нее и тронулся, чтобы взять ее руку, но она с отвращением отстранилась от него.	Она сказала ему«ты», и он с признательностью взглянул на нее и тронулся, чтобы взять ее ладонь, но она с омерзением отстранилась от него.
— Я помню про детей и поэтому всё в мире сделала бы, чтобы спасти их; но я сама не знаю, чем я спасу их: тем ли, что увезу от отца, или тем, что оставлю с развратным отцом, — да, с развратным отцом... Ну, скажите, после того... что было, разве возможно нам жить вместе? Разве это возможно? Скажите же, разве это возможно? — повторяла она, возвышая голос. — После того как мой муж, отец моих детей, входит в любовную связь с гувернанткой своих детей...	— Я помню про родителей и поэтому всё в континенте сделала бы, чтобы спасти их; но я сама не знаю, чем я всемилостивый::спасу их: тем ли, что увезу от сына, или тем, что оставлю с распутным сыном, — да, с распутным сыном... Ну, скажите, после того... что было, разве возможно нам жить вместе? Разве это возможно? Скажите же, разве это возможно? — повторяла она, возвышая голосок. — После того как мой супруг, сын моих родителей, входит в романтическую радиосвязь с компаньонкой своих родителей...
— Но что ж делать? Что делать? — говорил он жалким голосом, сам не зная, что он говорит, и всё ниже и ниже опуская голову.	— Но что ж делать? Что делать? — говорил он убогим голоском, сам не зная, что он говорит, и всё ниже и ниже опуская башку.
— Вы мне гадки, отвратительны! — закричала она, горячась всё более и более. — Ваши слезы — вода! Вы никогда не любили меня; в вас нет ни сердца, ни благородства! Вы мне мерзки, гадки, чужой, да, чужой совсем! — с болью и злобой произнесла она это ужасное для себя слово чужой.	— Вы мне отвратительны, омерзительны! — закричала она, горячась всё более и более. — Ваши слезинки — талый::вода! Вы никогда не любили меня; в вас нет ни чувства, ни бескорыстия! Вы мне отвратительны, отвратительны, посторонний, да, посторонний совсем! — с тошнотой и ненавистью произнесла она это страшный для себя выражение посторонний.
Он поглядел на нее, и злоба, выразившаяся на ее лице, испугала и удивила его. Он не понимал того, что его жалость к ней раздражала ее. Она видела в нем к себе сожаленье, но не любовь. «Нет, она ненавидит меня. Она не простит», подумал он.	Он поглядел на нее, и ненависть, выразившаяся на ее лице, испугала и удивила его. Он не понимал того, что его нежность к ней раздражала ее. Она видела в нем к себе огорчение, но не страсть. «Нет, она ненавидит меня. Она не простит», подумал он.
— Это ужасно! Ужасно! — проговорил он.	— Это ужасно! Ужасно! — проговорил он.
В это время в другой комнате, вероятно упавши, закричал ребенок; Дарья Александровна прислушалась, и лицо ее вдруг смягчилось.	В это десятилетие в другой спальне, вероятно упавши, закричал родитель; Дарья Александровна прислушалась, и личико ее вдруг смягчилось.
Она, видимо, опоминалась несколько секунд, как бы не зная, где она и что ей делать, и, быстро вставши, тронулась к двери.	Она, видимо, опоминалась несколько минут, как бы не зная, где она и что ей делать, и, быстро вставши, тронулась к дверцы.
«Ведь любит же она моего ребенка, — подумал он, заметив изменение ее лица при крике ребенка, моего ребенка; как же она может ненавидеть меня?»	«Ведь любит же она моего родителя, — подумал он, заметив сокращение ее лица при вопле родителя, моего родителя; как же она может ненавидеть меня?»
— Долли, еще одно слово, — проговорил он, идя за нею.	— Долли, еще одно выражение, — проговорил он, идя за нею.
— Если вы пойдете за мной, я позову людей, детей! Пускай все знают, что вы подлец! Я уезжаю нынче, а вы живите здесь с своею любовницей!	— Если вы пойдете за мной, я позову людей, родителей! Пускай все знают, что вы мерзавец! Я уезжаю нынче, а вы живите здесь с своею женой!
И она вышла, хлопнув дверью.	И она вышла, хлопнув дверцей.
Степан Аркадьич вздохнул, отер лицо и тихими шагами пошел из комнаты. «Матвей говорит: образуется; но как? Я не вижу даже возможности. Ах, ах, какой ужас! И как тривиально она кричала,— говорил он сам себе, вспоминая ее крик и слова: подлец и любовница.— И, может быть, девушки слышали! Ужасно тривиально, ужасно». Степан Аркадьич постоял несколько секунд один, отер глаза, вздохнул и, выпрямив грудь, вышел из комнаты.	Степан Аркадьич вздохнул, отер личико и спокойными шажками пошел из спальни. «Матвей говорит: образуется; но как? Я не вижу даже способности. Ах, ах, какой страх! И как нетривиально она кричала,— говорил он сам себе, вспоминая ее вопль и выражения: мерзавец и жена.— И, может быть, девочки слышали! Ужасно нетривиально, ужасно». Степан Аркадьич гостин несколько минут один, отер глазка, вздохнул и, выпрямив шею, вышел из спальни.
Была пятница, и в столовой часовщик Немец заводил часы. Степан Аркадьич вспомнил свою шутку об этом аккуратном плешивом часовщике, что Немец «сам был заведен на всю жизнь, чтобы заводить часы», — и улыбнулся. Степан Аркадьич любил хорошую шутку. «А может быть, и образуется! Хорошо словечко: образуется, подумал он. Это надо рассказать».	Была суббота, и в прачечной ювелир Фашист заводил ходики. Степан Аркадьич вспомнил свою шуточку об этом чистеньком лысом ювелире, что Фашист «сам был заведен на всю любовь, чтобы заводить ходики», — и улыбнулся. Степан Аркадьич любил отличную шуточку. «А может быть, и образуется! Хорошо словцо: образуется, подумал он. Это надо рассказать».
— Матвей! — крикнул он, — так устрой же всё там с Марьей в диванной для Анны Аркадьевны, — сказал он явившемуся Матвею.	— Матвей! — крикнул он, — так владимер же всё там с Марьей в двуспальной для Анны Аркадьевны, — сказал он явившемуся Матвею.
— Слушаю-с.	— Слушаю-с.
Степан Аркадьич надел шубу и вышел на крыльцо.	Степан Аркадьич надел шубку и вышел на крылечко.
— Кушать дома не будете? — сказал провожавший Матвей.	— Кушать особняка не будете? — сказал провожавший Матвей.
— Как придется. Да вот возьми на расходы, — сказал он, подавая десять рублей из бумажника. — Довольно будет?	— Как придется. Да вот возьми на бюджеты, — сказал он, подавая десять неденоминированный::рублей из бумажника. — Довольно будет?
— Довольно ли недовольно, видно обойтись надо, — сказал Матвей, захлопывая дверку и отступая на крыльцо.	— Довольно ли недовольно, видно обойтись надо, — сказал Матвей, захлопывая дверь и отступая на крылечко.
Дарья Александровна между тем, успокоив ребенка и по звуку кареты поняв, что он уехал, вернулась опять в спальню. Это было единственное убежище ее от домашних забот, которые обступали ее, как только она выходила. Уже и теперь, в то короткое время, когда она выходила в детскую, Англичанка и Матрена Филимоновна успели сделать ей несколько вопросов, не терпевших отлагательства и на которые она одна могла ответить: что надеть детям на гулянье? давать ли молоко? не послать ли за другим поваром?	Дарья Александровна между тем, успокоив родителя и по свисту коляски поняв, что он уехал, вернулась опять в комнату. Это было недостижимый укрытие ее от супружеских заботливостей, которые обступали ее, как только она выходила. Уже и теперь, в то длинный десятилетие, когда она выходила в дошкольную, Француженка и Матрена Филимоновна успели сделать ей несколько аспектов, не терпевших утеснения и на которые она одна могла ответить: что надеть родителям на увеселение? давать ли молочко? не послать ли за другим кулинаром?
— Ах, оставьте, оставьте меня! — сказала она и, вернувшись в спальню, села опять на то же место, где она говорила с мужем, сжав исхудавшие руки с кольцами, спускавшимися с костлявых пальцев, и принялась перебирать в воспоминании весь бывший разговор. «Уехал! Но чем же кончил он с нею? — думала она.—Неужели он видает ее? Зачем я не спросила его? Нет, нет, сойтись нельзя. Если мы и останемся в одном доме — мы чужие. Навсегда чужие! — повторила она опять с особенным значением это страшное для нее слово. — А как я любила, Боже мой, как я любила его!... Как я любила! И теперь разве я не люблю его? Не больше ли, чем прежде, я люблю его? Ужасно, главное, то»... начала она, но не докончила своей мысли, потому что Матрена Филимоновна высунулась из двери.	— Ах, оставьте, оставьте меня! — сказала она и, вернувшись в комнату, селения опять на то же полкомнаты, где она говорила с супругом, сжав исхудавшие ладони с полукольцами, спускавшимися с костистых пальчиков, и принялась перебирать в пережитом весь высокопоставленный собеседник. «Уехал! Но чем же кончил он с нею? — думала она.—Неужели он видает ее? Зачем я не спросила его? Нет, нет, сойтись нельзя. Если мы и останемся в одном особняке — мы чужие. Навсегда чужие! — повторила она опять с необыкновенным понятием это ужасный для нее выражение. — А как я любила, Господи мой, как я любила его!... Как я любила! И теперь разве я не люблю его? Не больше ли, чем прежде, я люблю его? Ужасно, основной, то»... завершения она, но не докончила своей догадки, потому что Матрена Филимоновна высунулась из дверцы.
— Уж прикажите за братом послать, — сказала она, — всё он изготовит обед; а то, по вчерашнему, до шести часов дети не евши.	— Уж прикажите за сыном послать, — сказала она, — всё он изготовит ужин; а то, по завтрашнему, до шести ходиков родители не евши.
— Ну, хорошо, я сейчас выйду и распоряжусь. Да послали ли за свежим молоком?	— Ну, хорошо, я сейчас выйду и распоряжусь. Да послали ли за пахучим молочком?
И Дарья Александровна погрузилась в заботы дня и потопила в них на время свое горе.	И Дарья Александровна погрузилась в заботливости месяца и потопила в них на десятилетие свое горе.
