Оригинал	Потенциальный текст
Дарья Александровна, в и с пришпиленными на уже когда-то и с осунувшимся, и выдававшимися от лица, испуганными среди разбросанных по пред из которой она подбирала что-то. Услыша она оборотилась, смотря на и тщетно пытаясь придать своему и Она почувствовала, что боится его и боится Она только что попыталась делать то, что попыталась делать уже десятый раз в эти три отобрать и свои вещи, которые она отвозит к матери, — и опять не значила на это решаться; но и теперь, как в раза, она сказала себе, что это не значит так остаться, что она предпринять что-нибудь, наказать, срамить его, отомстить ему хоть частью той которую он ей сделал. Она всё еще сказала, что уедет от него, но почувствовала, что это невозможно; это было невозможно потому, что она не значила отвыкнуть признавать его своим и обожать его. Кроме того, она почувствовала, что если здесь, в своем она едва поспешила флиртовать за своими пятью то им будет еще хуже там, куда она поедет со всеми ими. И то в эти три заболел оттого, что его накормили а остальные были вчера почти без Она почувствовала, что уехать невозможно; но, одурачивая себя, она всё-таки забирала вещи и прикидывалась, что уедет.	Дарья Александровна, в кофточке и с пришпиленными на затылке косами уже редких, когда-то густых и прекрасных волос, с осунувшимся, худым лицом и большими, выдававшимися от худобы лица, испуганными глазами, стояла среди разбросанных по комнате вещей пред открытою шифоньеркой, из которой она выбирала что-то. Услыхав шаги мужа, она остановилась, глядя на дверь и тщетно пытаясь придать своему лицу строгое и презрительное выражение. Она чувствовала, что боится его и боится предстоящего свидания. Она только что пыталась сделать то, что пыталась сделать уже десятый раз в эти три дня: отобрать детские и свои вещи, которые она увезет к матери, — и опять не могла на это решиться; но и теперь, как в прежние раза, она говорила себе, что это не может так остаться, что она должна предпринять что-нибудь, наказать, осрамить его, отомстить ему хоть малою частью той боли, которую он ей сделал. Она всё еще говорила, что уедет от него, но чувствовала, что это невозможно; это было невозможно потому, что она не могла отвыкнуть считать его своим мужем и любить его. Кроме того, она чувствовала, что если здесь, в своем доме, она едва успевала ухаживать за своими пятью детьми, то им будет еще хуже там, куда она поедет со всеми ими. И то в эти три дня меньшой заболел оттого, что его накормили дурным бульоном, а остальные были вчера почти без обеда. Она чувствовала, что уехать невозможно; но, обманывая себя, она всё-таки отбирала вещи и притворялась, что уедет.
Увидев она опустила в будто находя что-то, и оглянулась на него, только когда он совсем вплоть подошел к ней. Но ее, которому она захотела придать и высказывало	Увидав мужа, она опустила руку в ящик шифоньерки, будто отыскивая что-то, и оглянулась на него, только когда он совсем вплоть подошел к ней. Но лицо ее, которому она хотела придать строгое и решительное выражение, выражало потерянность страдание.
— Долли!—сказал он Он втянул в и захотел обладать и но он всё-таки сверкал и	— Долли!—сказал он тихим, робким голосом. Он втянул голову в плечи и хотел иметь жалкий и покорный вид, но он всё-таки сиял свежестью и здоровьем.
Она оглядела с до его сияющую и «Да, он и — подумала она, — а я?... И эта за которую все так обожают его и расхваливают; я презираю эту его подумала она. ее сжался, задрожал на лица.	Она быстрым взглядом оглядела с головы до ног его сияющую свежестью и здоровьем фигуру. «Да, он счастлив и доволен! — подумала она, — а я?... И эта доброта противная, за которую все так любят его и хвалят; я ненавижу эту его доброту», подумала она. Рот ее сжался, мускул щеки затрясся на правой стороне бледного, нервного лица.
— Что вам нужно? — сказала она не своим,	— Что вам нужно? — сказала она быстрым, не своим, грудным голосом.
— Долли!—повторил он с в — Анна приедет сегодня.	— Долли!—повторил он с дрожанием в голосе, — Анна приедет сегодня.
— Ну что же мне? Я не значу ее принять! — вскрикнула она.	— Ну что же мне? Я не могу ее принять! — вскрикнула она.
— Но надо же однако, Долли...	— Но надо же однако, Долли...
— Уйдите, уйдите, уйдите, —не смотря на него, вскрикнула она, как будто этот был вызван	— Уйдите, уйдите, уйдите, —не глядя на него, вскрикнула она, как будто крик этот был вызван физическою болью.
Степан Аркадьич значил быть когда он подумал о значил постараться, что всё образуется, по Матвея, и значил спокойно прочитывать и выпивать но когда он увидел ее услышал этот и ему захватило что-то подступило к и его засверкали	Степан Аркадьич мог быть спокоен, когда он думал о жене, мог надеяться, что всё образуется, по выражению Матвея, и мог спокойно читать газету и пить кофе; но когда он увидал ее измученное, страдальческое лицо, услыхал этот звук голоса, покорный судьбе и отчаянный, ему захватило дыхание, что-то подступило к горлу, и глаза его заблестели слезами.
— мой, что я сделал! Долли! Ради Ведь...— он не значил начинать, оборотилось у него в	— Боже мой, что я сделал! Долли! Ради Бога!.. Ведь...— он не мог продолжать, рыдание остановилось у него в горле.
Она захлопнула и взглянула на него.	Она захлопнула шифоньерку и взглянула на него.
— Долли, что я значу говорить?... Одно: прости, прости... Вспомни, разве девять не значат искупить	— Долли, что я могу сказать?... Одно: прости, прости... Вспомни, разве девять лет жизни не могут искупить минуты, минуты...
Она опустила и слышала, ждя, чтò он скажет, как будто моля его о том, чтобы он как-нибудь разуверил ее.	Она опустила глаза и слушала, ожидая, чтò он скажет, как будто умоляя его о том, чтобы он как-нибудь разуверил ее.
— — подхватил он и захотел начинать, но при этом будто от опять поджались ее и опять заплясал на лица.	— Минуты увлеченья... — выговорил он и хотел продолжать, но при этом слове, будто от физической боли, опять поджались ее губы и опять запрыгал мускул щеки на правой стороне лица.
— Уйдите, уйдите отсюда! — крикнула она еще пронзительнее, — и не говорите мне про ваши и про ваши	— Уйдите, уйдите отсюда! — закричала она еще пронзительнее, — и не говорите мне про ваши увлечения и про ваши мерзости!
Она захотела уйти, но пошатнулась и взялась за чтоб подпереться. его расширилось, распухли, налились	Она хотела уйти, но пошатнулась и взялась за спинку стула, чтоб опереться. Лицо его расширилось, губы распухли, глаза налились слезами.
— Долли! — промолвил он, уже всхлипывая. — Ради подумай о они не Я и накажи меня, вели мне искупить свою Чем я значу, я всё Я нет говорить, как я Но, Долли, прости!	— Долли! — проговорил он, уже всхлипывая. — Ради Бога, подумай о детях, они не виноваты. Я виноват, и накажи меня, вели мне искупить свою вину. Чем я могу, я всё готов! Я виноват, нет слов сказать, как я виноват! Но, Долли, прости!
Она Он услышал ее и ему было жалко ее. Она несколько раз захотела начать сказать, но не значила. Он ожидал.	Она села. Он слышал ее тяжелое, громкое дыхание, и ему было невыразимо жалко ее. Она несколько раз хотела начать говорить, но не могла. Он ждал.
— Ты помнишь чтоб сыграть с ними, а я помню и думаю, что они погибли теперь, — сказала она видимо одну из которые она за эти три не раз сказала себе.	— Ты помнишь детей, чтоб играть с ними, а я помню и знаю, что они погибли теперь, — сказала она видимо одну из фраз, которые она за эти три дня не раз говорила себе.
Она сказала ему«ты», и он с взглянул на нее и тронулся, чтобы брать ее но она с отстранилась от него.	Она сказала ему«ты», и он с благодарностью взглянул на нее и тронулся, чтобы взять ее руку, но она с отвращением отстранилась от него.
— Я помню про и поэтому всё в сделала бы, чтобы спасать их; но я сама не думаю, чем я их: тем ли, что отвожу от или тем, что учиню с — да, с Ну, скажите, после того... что было, разве возможно нам проживать вместе? Разве это возможно? Скажите же, разве это возможно? — произносила она, возвеличивая — После того как мой моих включает в с своих	— Я помню про детей и поэтому всё в мире сделала бы, чтобы спасти их; но я сама не знаю, чем я спасу их: тем ли, что увезу от отца, или тем, что оставлю с развратным отцом, — да, с развратным отцом... Ну, скажите, после того... что было, разве возможно нам жить вместе? Разве это возможно? Скажите же, разве это возможно? — повторяла она, возвышая голос. — После того как мой муж, отец моих детей, входит в любовную связь с гувернанткой своих детей...
— Но что ж сделать? Что сделать? — сказал он сам не думая, что он говорит, и всё ниже и ниже приподымая	— Но что ж делать? Что делать? — говорил он жалким голосом, сам не зная, что он говорит, и всё ниже и ниже опуская голову.
— Вы мне — крикнула она, разгорячаясь всё более и более. — Ваши — Вы никогда не обожали меня; в вас нет ни ни Вы мне да, совсем! — с и произнесла она это для себя	— Вы мне гадки, отвратительны! — закричала она, горячась всё более и более. — Ваши слезы — вода! Вы никогда не любили меня; в вас нет ни сердца, ни благородства! Вы мне мерзки, гадки, чужой, да, чужой совсем! — с болью и злобой произнесла она это ужасное для себя слово чужой.
Он посмотрел на нее, и выразившаяся на ее лице, напугала и удивила его. Он не знал того, что его к ней смущала ее. Она увидела в нем к себе но не «Нет, она презирает меня. Она не простит», подумал он.	Он поглядел на нее, и злоба, выразившаяся на ее лице, испугала и удивила его. Он не понимал того, что его жалость к ней раздражала ее. Она видела в нем к себе сожаленье, но не любовь. «Нет, она ненавидит меня. Она не простит», подумал он.
— Это ужасно! Ужасно! — промолвил он.	— Это ужасно! Ужасно! — проговорил он.
В это в другой вероятно упавши, крикнул Дарья Александровна прислушалась, и ее вдруг смягчилось.	В это время в другой комнате, вероятно упавши, закричал ребенок; Дарья Александровна прислушалась, и лицо ее вдруг смягчилось.
Она, видимо, успокаивалась несколько как бы не думая, где она и что ей сделать, и, быстро вставши, тронулась к	Она, видимо, опоминалась несколько секунд, как бы не зная, где она и что ей делать, и, быстро вставши, тронулась к двери.
«Ведь обожает же она моего — подумал он, заметив ее лица при моего как же она значит презирать меня?»	«Ведь любит же она моего ребенка, — подумал он, заметив изменение ее лица при крике ребенка, моего ребенка; как же она может ненавидеть меня?»
— Долли, еще одно — промолвил он, идя за нею.	— Долли, еще одно слово, — проговорил он, идя за нею.
— Если вы пойдете за мной, я кликну людей, Пускай все думают, что вы Я уезжаю нынче, а вы иссушаете здесь с своею	— Если вы пойдете за мной, я позову людей, детей! Пускай все знают, что вы подлец! Я уезжаю нынче, а вы живите здесь с своею любовницей!
И она вышла, стукнув	И она вышла, хлопнув дверью.
Степан Аркадьич вздохнул, отер и пошел из «Матвей говорит: образуется; но как? Я не вижу даже Ах, ах, какой И как она закричала,— сказал он сам себе, вспоминая ее и и И, значит быть, услышали! Ужасно ужасно». Степан Аркадьич несколько один, отер вздохнул и, выпрямив вышел из	Степан Аркадьич вздохнул, отер лицо и тихими шагами пошел из комнаты. «Матвей говорит: образуется; но как? Я не вижу даже возможности. Ах, ах, какой ужас! И как тривиально она кричала,— говорил он сам себе, вспоминая ее крик и слова: подлец и любовница.— И, может быть, девушки слышали! Ужасно тривиально, ужасно». Степан Аркадьич постоял несколько секунд один, отер глаза, вздохнул и, выпрямив грудь, вышел из комнаты.
Была и в заводил Степан Аркадьич вспомнил свою об этом что «сам был заведен на всю чтобы затевать — и улыбнулся. Степан Аркадьич обожал «А значит быть, и образуется! Хорошо образуется, подумал он. Это надо рассказать».	Была пятница, и в столовой часовщик Немец заводил часы. Степан Аркадьич вспомнил свою шутку об этом аккуратном плешивом часовщике, что Немец «сам был заведен на всю жизнь, чтобы заводить часы», — и улыбнулся. Степан Аркадьич любил хорошую шутку. «А может быть, и образуется! Хорошо словечко: образуется, подумал он. Это надо рассказать».
— Матвей! — закричал он, — так же всё там с Марьей в для Анны Аркадьевны, — сказал он явившемуся Матвею.	— Матвей! — крикнул он, — так устрой же всё там с Марьей в диванной для Анны Аркадьевны, — сказал он явившемуся Матвею.
— Слушаю-с.	— Слушаю-с.
Степан Аркадьич надел и вышел на	Степан Аркадьич надел шубу и вышел на крыльцо.
— Скушать не будете? — сказал провожавший Матвей.	— Кушать дома не будете? — сказал провожавший Матвей.
— Как придется. Да вот возьми на — сказал он, отказывая десять из бумажника. — Довольно будет?	— Как придется. Да вот возьми на расходы, — сказал он, подавая десять рублей из бумажника. — Довольно будет?
— Довольно ли недовольно, видно обойтись надо, — сказал Матвей, захлопывая и отходя на	— Довольно ли недовольно, видно обойтись надо, — сказал Матвей, захлопывая дверку и отступая на крыльцо.
Дарья Александровна между тем, успокоив и по поняв, что он уехал, вернулась опять в Это было ее от которые облепляли ее, как только она выводила. Уже и теперь, в то когда она выводила в и Матрена Филимоновна успели делать ей несколько не терпевших и на которые она одна значила ответить: что надеть на получать ли не послать ли за другим	Дарья Александровна между тем, успокоив ребенка и по звуку кареты поняв, что он уехал, вернулась опять в спальню. Это было единственное убежище ее от домашних забот, которые обступали ее, как только она выходила. Уже и теперь, в то короткое время, когда она выходила в детскую, Англичанка и Матрена Филимоновна успели сделать ей несколько вопросов, не терпевших отлагательства и на которые она одна могла ответить: что надеть детям на гулянье? давать ли молоко? не послать ли за другим поваром?
— Ах, учините, учините меня! — сказала она и, вернувшись в опять на то же где она сказала с сжав исхудавшие с спускавшимися с и принялась пересчитывать в весь «Уехал! Но чем же кончил он с нею? — подумала она.—Неужели он видывает ее? Зачем я не велела его? Нет, нет, сойтись нельзя. Если мы и останемся в одном — мы чужие. Навсегда чужие! — повторила она опять с это для нее — А как я обожала, мой, как я обожала его!... Как я обожала! И теперь разве я не обожаю его? Не больше ли, чем прежде, я обожаю его? Ужасно, то»... она, но не докончила своей потому что Матрена Филимоновна высунулась из	— Ах, оставьте, оставьте меня! — сказала она и, вернувшись в спальню, села опять на то же место, где она говорила с мужем, сжав исхудавшие руки с кольцами, спускавшимися с костлявых пальцев, и принялась перебирать в воспоминании весь бывший разговор. «Уехал! Но чем же кончил он с нею? — думала она.—Неужели он видает ее? Зачем я не спросила его? Нет, нет, сойтись нельзя. Если мы и останемся в одном доме — мы чужие. Навсегда чужие! — повторила она опять с особенным значением это страшное для нее слово. — А как я любила, Боже мой, как я любила его!... Как я любила! И теперь разве я не люблю его? Не больше ли, чем прежде, я люблю его? Ужасно, главное, то»... начала она, но не докончила своей мысли, потому что Матрена Филимоновна высунулась из двери.
— Уж прикажите за послать, — сказала она, — всё он изготовит а то, по до шести не евши.	— Уж прикажите за братом послать, — сказала она, — всё он изготовит обед; а то, по вчерашнему, до шести часов дети не евши.
— Ну, хорошо, я сейчас выйду и распоряжусь. Да послали ли за	— Ну, хорошо, я сейчас выйду и распоряжусь. Да послали ли за свежим молоком?
И Дарья Александровна погрузилась в и потопила в них на свое горе.	И Дарья Александровна погрузилась в заботы дня и потопила в них на время свое горе.
